index,tag,distCum,time,x,y,lon,lat,distance,flightAngle,utmX,utmY,mapDist,acousticAntropy,visualAntropy,x_utm,y_utm,polygon,azimuth,pool_file
7363,7595,63.6675983194811,738609.885434884,255571.357939408,782194.990260864,35.5914775199785,33.134468319035,20.2672115061682,312.760380385039,741750.573435654,3669183.87932701,1.83778153162838,7.972644493,2.74814965865767,741750.5731115565,3669183.8971455237,"POLYGON ((35.59134724983685 33.13449569267752, 35.59129995272286 33.1345323173922, 35.59138701489189 33.13461190394423, 35.59152105108554 33.13450811225557, 35.59156834808946 33.13447148746184, 35.59148128591295 33.13439190103633, 35.59134724983685 33.13449569267752))",-47.37424927869607,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0479.json
7364,7595,78.667598319481,738609.88553067,255556.394937415,782208.660243804,35.5913177099191,33.1345920687623,20.2672115062252,312.760420652616,741735.321617167,3669197.23530409,2.81417548802703,7.920575142,3.13278592700067,741735.3212931699,3669197.2531213425,"POLYGON ((35.59118743961378 33.13461944247835, 35.59114014246 33.13465606722387, 35.59122720482618 33.13473565372961, 35.59136124112473 33.13463186195973, 35.59140853816844 33.13459523713518, 35.59132147579476 33.13451565075594, 35.59118743961378 33.13461944247835))",-47.37420865108006,
7365,7595,93.667598319481,738609.885626456,255541.431935422,782222.330226745,35.5911578998597,33.1347158184896,20.2672115062252,312.760460918848,741720.069840286,3669210.59130278,7.4657425052285,7.294293157,3.94548821487031,741720.0695163873,3669210.609118778,"POLYGON ((35.59102762939069 33.13474319227918, 35.59098033219708 33.1347798170555, 35.59106739476038 33.13485940351497, 35.59120143116389 33.1347556116639, 35.59124872824741 33.13471898680854, 35.59116166567662 33.13463940047558, 35.59102762939069 33.13474319227918))",-47.374168044042904,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0435.json
7366,7595,108.667598319481,738609.885722242,255526.468933429,782236.000209685,35.5909980898003,33.1348395682168,20.367110783602,314.238006737593,741704.818105009,3669223.94732309,6.28013646867019,8.413389512,3.80714711093492,741704.8177812105,3669223.9651378165,"POLYGON ((35.59086870115963 33.13486975829561, 35.5908225417858 33.13490739671551, 35.59091201406196 33.13498506846267, 35.59104282595514 33.13487840403464, 35.59108898521483 33.1348407655382, 35.59099951294681 33.13476309391717, 35.59086870115963 33.13486975829561))",-45.89700287588951,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0435.json
7367,7595,123.667598319481,738609.885976517,255511.791366733,782250.120699676,35.5908413553484,33.1349673698715,20.384855418338,314.47992662717,741689.842287125,3669237.75985651,2.24469773329215,8.440273364,5.2598899123358,741689.8419634227,3669237.7776699997,"POLYGON ((35.5907121191608 33.13499801926383, 35.59066614899434 33.13503582130836, 35.59075601036383 33.13511317456432, 35.59088628604896 33.13500604644371, 35.59093225610064 33.13496824432305, 35.59084239474183 33.13489089119313, 35.5907121191608 33.13499801926383))",-45.655110797953014,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0435.json
7368,7595,138.667598319481,738609.886256894,255497.160810876,782264.315387617,35.5906851274452,33.1350958388736,26.1294943955525,317.804913624112,741674.91194771,3669251.64759418,2.47676895193943,8.224851412,4.8807287668473,741674.9116241022,3669251.665406443,"POLYGON ((35.59055822193785 33.13513274414989, 35.59051493552668 33.13517272615902, 35.59060997916037 33.13524556338432, 35.59073264926469 33.13513225743036, 35.59077593555315 33.13509227535105, 35.59068089196518 33.13501943824956, 35.59055822193785 33.13513274414989))",-42.32953549972354,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0435.json
7369,7595,153.667598319481,738609.886406491,255479.494323993,782283.567549017,35.5904965639387,33.1352700079184,21.7675085737491,322.484227296999,741656.839009306,3669270.52925253,1.5817308990947,8.302373939,5.99776826308686,741656.8386858174,3669270.547063317,"POLYGON ((35.59037366326926 33.13531550742279, 35.59033440126995 33.13535832939814, 35.59043619617068 33.13542439467357, 35.59054746137316 33.13530304050116, 35.59058672324142 33.1352602184645, 35.59048492843459 33.13519415330691, 35.59037366326926 33.13531550742279))",-37.64633377536901,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0435.json
7370,7595,168.667598319481,738609.886464326,255466.135654038,782300.753891459,35.5903540832981,33.1354254078012,9.70024560354003,334.875655946712,741643.117679585,3669287.43562051,2.34367099144424,8.893419707,6.2164575044352,741643.117356182,3669287.45343017,"POLYGON ((35.59024568714908 33.13549207843707, 35.59021828872697 33.13554100199858, 35.59033458832992 33.13558710458167, 35.59041223303782 33.13544845904603, 35.59043963132398 33.13539953544784, 35.59032333192734 33.13535343295227, 35.59024568714908 33.13549207843707))",-25.228341919679117,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0435.json
7371,7595,183.667598319481,738609.88654444,255461.968876068,782309.513613265,35.5903097752874,33.1355045259402,24.2170556763987,142.158433586108,741638.766234565,3669296.10824777,7.39486513588881,8.893419707,6.2164575044352,741638.76591119,3669296.1260570795,"POLYGON ((35.59043298203473 33.13545961570214, 35.59047253305655 33.13541698238434, 35.59037118668212 33.1353504307944, 35.59025910208557 33.13547125009015, 35.59021955093318 33.13551388334601, 35.59032089739821 33.1355804350543, 35.59043298203473 33.13545961570214))",142.02748771819756,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0435.json
7372,7595,198.667598319481,738609.886624608,255476.939389218,782290.478132665,35.5904694567222,33.1353324003573,8.62067427282639,100.001123434786,741654.138455641,3669277.3865467,6.86726573359779,8.302373939,5.99776826308686,741654.1381321651,3669277.404357262,"POLYGON ((35.59059668069537 33.13536852199736, 35.59065999388526 33.13535917246162, 35.59063776850326 33.13525263678083, 35.59045834414197 33.1352791324949, 35.59039503098052 33.13528848192636, 35.59041725608391 33.13539501766389, 35.59059668069537 33.13536852199736))",99.95502555224928,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0435.json
