index,tag,distCum,time,x,y,lon,lat,distance,flightAngle,utmX,utmY,mapDist,acousticAntropy,visualAntropy,x_utm,y_utm,polygon,azimuth,pool_file
9169,7604,84.5793360421306,738609.028065405,255609.461598992,782216.840821128,35.5918867210159,33.1346640602285,14.9290622441552,261.132805797291,741788.219862195,3669206.53341856,8.86979352017763,7.468372536,3.86560595644916,741788.21953784,3669206.5512402826,"POLYGON ((35.59178009466804 33.13459540028235, 35.59171657542603 33.13458710202735, 35.59169684923297 33.13469398537599, 35.59187685802306 33.13471750191138, 35.59194037736942 33.13472580007904, 35.59196010326868 33.13461891670642, 35.59178009466804 33.13459540028235))",-98.82614414046175,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0480.json
9170,7604,99.5793360421306,738609.028094004,255594.717877234,782214.495705309,35.5917286277484,33.1346434067701,14.9290622441082,261.132807851566,741773.524481364,3669203.87776274,7.44836857504193,8.188247732,3.79468277193219,741773.5241571062,3669203.8955832263,"POLYGON ((35.5916220014235 33.1345747468222, 35.59155848219045 33.13456644856834, 35.59153875600477 33.13467333192727, 35.59171876475926 33.13469684845813, 35.59178228409665 33.13470514662465, 35.59180200998853 33.13459826324171, 35.5916220014235 33.1345747468222))",-98.82614212595058,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0480.json
9171,7604,114.579336042131,738609.028122603,255579.974155476,782212.15058949,35.5915705344809,33.1346227533116,14.9290622441369,261.132809901807,741758.829094317,3669201.22212947,6.55822796271886,8.217442207,3.63420416903303,741758.8287701575,3669201.239948712,"POLYGON ((35.59146390817888 33.13455409336202, 35.59140038895479 33.13454579510934, 35.5913806627766 33.1346526784786, 35.59156067149549 33.13467619500478, 35.59162419082394 33.13468449317013, 35.59164391670834 33.13457760977688, 35.59146390817888 33.13455409336202))",-98.82614006008528,
9172,7604,129.579336042131,738609.028151202,255565.230433717,782209.805473672,35.5914124412135,33.1346020998531,14.9290622441552,261.132811957131,741744.133701057,3669198.56651876,6.42505064760736,8.257622429,2.86443132510398,741744.1333770026,3669198.58433675,"POLYGON ((35.59130581493432 33.13453343990192, 35.59124229571918 33.13452514165044, 35.59122256954854 33.13463202503002, 35.59140257823187 33.13465554155145, 35.59146609755136 33.13466383971559, 35.59148582342821 33.13455695631202, 35.59130581493432 33.13453343990192))",-98.82613795137348,
9173,7604,144.579336042131,738609.028179801,255550.486711959,782207.460357853,35.591254347946,33.1345814463947,14.9290622441552,261.132814008712,741729.43830158,3669195.91093059,7.08993613745282,7.920575142,3.13278592700067,741729.4379776228,3669195.9287473504,"POLYGON ((35.59114772168978 33.13451278644177, 35.5910842024836 33.13450448819142, 35.59106447632033 33.13461137158131, 35.59124448496806 33.1346348880982, 35.59130800427858 33.13464318626121, 35.59132773014805 33.13453630284732, 35.59114772168978 33.13451278644177))",-98.82613593139905,
9174,7604,159.579336042131,738609.0282084,255535.742990201,782205.115242034,35.5910962546785,33.1345607929362,15.0785788550602,263.361926232372,741714.742895888,3669193.25536498,8.36542277854645,8.075574178,4.54606589499947,741714.7425720281,3669193.273180491,"POLYGON ((35.59098654862753 33.13449565796058, 35.59092269516816 33.13448943515737, 35.59090790264201 33.13459688101467, 35.59108885852243 33.13461451586992, 35.59115271207896 33.13462073858273, 35.59116750430638 33.13451329271112, 35.59098654862753 33.13449565796058))",-96.60712713106014,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0434.json
9175,7604,174.579336042131,738609.02825276,255520.771058716,782203.325044303,35.5909357378238,33.1345451499526,15.4410623254236,267.65150864331,741699.807587839,3669191.14993219,9.67492375817076,7.575523108,4.6668056760194,741699.8072640828,3669191.167746436,"POLYGON ((35.59082057246029 33.13448706761585, 35.5907563455573 33.13448486179783, 35.59075110197835 33.13459293605744, 35.59093311614588 33.13459918708056, 35.59099734313057 33.13460139280299, 35.5910025864064 33.13449331854791, 35.59082057246029 33.13448706761585))",-92.33745694779222,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0434.json
9176,7604,189.579336042131,738609.028328464,255505.345268553,782202.638455933,35.5907704009899,33.1345394716955,15.4410623254527,267.651508793751,741684.395176556,3669190.1385709,10.3872273168666,7.751715672,4.60535006571214,741684.394852901,3669190.1563838464,"POLYGON ((35.59065523563388 33.13448138935397, 35.59059100872912 33.13447918353587, 35.59058576515034 33.13458725780552, 35.59076777931208 33.13459350882848, 35.59083200629853 33.13459571455099, 35.59083724957419 33.13448764028586, 35.59065523563388 33.13448138935397))",-92.33745679630199,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0434.json
9177,7604,204.579336042131,738609.028404168,255489.91947839,782201.951867564,35.590605064156,33.1345337934384,15.4410623254527,267.651508944282,741668.982764095,3669189.12723408,10.948953649016,7.972970314,5.30010629764203,741668.9824405387,3669189.1450457303,"POLYGON ((35.59048989880745 33.13447571109212, 35.59042567190092 33.13447350527396, 35.59042042832233 33.13458157955364, 35.59060244247828 33.1345878305764, 35.5906666694665 33.13459003629897, 35.59067191274195 33.1344819620238, 35.59048989880745 33.13447571109212))",-92.33745664635794,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0434.json
9178,7604,219.579336042131,738609.028479872,255474.493688228,782201.265279194,35.5904397273222,33.1345281151813,15.4410623254766,267.651509098575,741653.570350454,3669188.11592174,10.6337856359475,7.901903205,5.55701535220714,741653.5700270073,3669188.133732087,"POLYGON ((35.59032456198112 33.13447003283027, 35.59026033507283 33.13446782701205, 35.59025509149444 33.13457590130177, 35.59043710564458 33.13458215232432, 35.59050133263457 33.13458435804695, 35.59050657590983 33.13447628376175, 35.59032456198112 33.13447003283027))",-92.33745648727594,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0434.json
9179,7604,234.579336042131,738609.028555576,255459.067898065,782200.578690824,35.5902743904883,33.1345224369242,15.4410623254475,267.651509251734,741638.157935634,3669187.10463386,10.3579924931593,8.664667732,5.34674531307469,741638.1576122865,3669187.122442916,"POLYGON ((35.59015922515474 33.13446435456834, 35.59009499824467 33.13446214875002, 35.59008975466639 33.13457022304978, 35.59027176881073 33.13457647407225, 35.59033599580249 33.13457867979496, 35.59034123907763 33.13447060549974, 35.59015922515474 33.13446435456834))",-92.33745637964428,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0434.json
9180,7604,249.579336042131,738609.02863128,255443.642107902,782199.892102455,35.5901090536544,33.134516758667,12.4559012235365,272.367210935436,741622.745519634,3669186.09337046,10.125354001951,8.2922879,4.57490919065369,741622.7451963879,3669186.111178204,"POLYGON ((35.58998862564882 33.13446679955009, 35.58992439957752 33.13446902278302, 35.58992968448356 33.13457709566764, 35.59011169622115 33.13457079509971, 35.59017592235509 33.13456857176672, 35.59017063714882 33.13446049890718, 35.58998862564882 33.13446679955009))",-87.6439108338515,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0434.json
9181,7604,264.579336042131,738609.028743575,255431.194938038,782200.358404586,35.5899756824869,33.1345213755018,11.8621180780666,273.614286269033,741610.287665872,3669186.29769463,8.91970292275506,8.081091515,4.30885009833016,741610.2873427098,3669186.31550133,"POLYGON ((35.58985399644084 33.13447362294136, 35.58978984267122 33.13447701619288, 35.58979790887867 33.13458496740702, 35.58997971570442 33.13457535109721, 35.59004386953133 33.13457195774468, 35.59003580302576 33.13446400656098, 35.58985399644084 33.13447362294136))",-86.4026691615397,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0434.json
9182,7604,279.579336042131,738609.028863311,255419.353537397,782201.05917285,35.5898488122544,33.1345280860743,11.8621180780666,273.614286549742,741598.430690819,3669186.74924598,8.55149803661684,8.143332328,4.65242381961728,741598.430367739,3669186.767051678,"POLYGON ((35.58972712619847 33.13448033351069, 35.58966297241946 33.13448372676276, 35.58967103862884 33.13459167798437, 35.58985284547288 33.13458206167346, 35.58991699930918 33.13457866832037, 35.5899089328017 33.1344707171292, 35.58972712619847 33.13448033351069))",-86.40266882864371,/Users/xingchen/Documents/PhD_learning/Acoustic_project/Analysis/echo_complex/pool/pool_0434.json
